label,text
0,Nggawaa jeruk kuwi!
1,Panjenengan ngampil jeruk kuwi!
2,Sampeyan mbekta jeram menika!
3,Panjenengan ngampil jeram menika!
0,"Tustele rusak, digawaa ya ora ana gunane."
1,"Tustele rusak, diampila ya ora ana gunane."
2,"Tustelipun risak, dipunbektaa inggih boten wonten ginanipun."
3,"Tustelipun risak, dipunampila inggih boten wonten ginanipun."
0,"Mobile dak-undume, abanana!"
1,"Mobile adalem undurake, panjenengan paringi dhawuh!"
2,"Mobilipun kula unduraken, sampeyan abani!"
3,"Mobilipun adalem unduraken, panjenengan paringi dhawuh!"
0,"Yen wedange arep diladekake, ngabanana!"
1,"Yen unjukane arep diladekake, panjenengan maringi dhawuh!"
2,"Yen wedangipun badhe dipunladosaken, sampeyan ngabani!"
3,"Yen unjukanipun badhe dipunladosaken, panjenengan maringi dhawuh!"
0,"Bu Haiti arep tuku gula selawe kilo, wis dak-dolane."
1,"Bu Haiti arep mundhut gula selawe kilo, wis adalem dolane."
2,"Bu Haiti badhe tumbas gendhis selangkung kilo, sampun kula sadeanipun."
3,"Bu Haiti badhe mundhut gendhis selangkung kilo, sampun adalem sadeanipun."
0,Koran-koran sing wis ora kanggo iku dak-dolane wae.
1,Koran-koran sing wis ora kagem iku adalem dolane wae.
2,Koran-koran ingkang sampun boten kangge menika kula sadenanipun kemawon.
3,Koran-koran ingkang sampun boten kagem menika adalem sadenanipun kemawon.
0,Abang-abang kae klambi apa serbet?
2,Abrit-abrit menika rasukan menapa serbet?
0,"Yen abang-abangan karo duwekmu, isih abang layanganku."
2,"Yen abrit-abritan kaliyan gadhahan sampeyan, taksih abrit layangan kula."
0,Ana bakul lombok padu nganti abang-abangan mata. 
2,Wonten bakul lombok paben ngantos abrit-abritan mripat.
0,"Menakjinggane kae, sing raine diabang-abang."
2,"Menakjingganipun menika, ingkang rainipun dipunabrit-abrit!"
0,"Iki, lipstikmu ngabang-abangi klambiku!"
2,"Menika, lipstik sampeyan ngabrit-abriti rasukan kula! "
0,Yen mung ngragadi sekolah wae aku ora kabotan.
2,Yen namung ngragadi sekolah kemawon kula boten kawratan.
0,Yen mikul beras sakwintal kaboten apa ora?
2,Yen mikul uwos sakwintal kawraten menapa boten?
0,Abot-abot nggawa tela iku arep dianggo apa?
2,Awrat-awrat mbekta tela menika badhe dipunangge menapa?
0,"Abot-abote nyekolahake anak, nganti sapine diedoli."
2,"Awrat-awratipun nyekolahaken anak, ngantos lembunipun dipunsadeni. "
0,"Yen nanggung ragad kuliah barang, apa ora ngabot-aboti uripmu?"
2,"Yen nanggel ragad kuliah menapa, menapa boten ngawrat-awrati gesang sampeyan?"
0,"Saabot-abote guru Sekolah Umum, isih abot guru Sekolah Luar Biasa."
2,"Saawrat-awratipun guru Sekolah Umum, taksih awrat guru Sekolah Luar Biasa."
0,Durjana narkotika iku perlu diukum saabot-abote.
2,Durjana narkotika menika perlu dipunukum saawrat-awratipun.
0,"Pak Sasra lungguh, banjur ngadeg karo ndeleng njaba."
1,"Pak Sasra pinarak, banjur jumeneng karo mriksani njaba."
2,"Pak Sasra lenggah, lajeng ngadeg kaliyan ningali njawi."
3,"Pak Sasra pinarak, lajeng jumeneng kaliyan mriksani njawi."
0,Akeh kang padha nekani adegan (adeg-adegan) Ratu ing Majapait.
1,Akeh kang padha ngrawuhi (ngestreni) jumenengan Ratu ing Majapait.
2,Kathah ingkang sami ndhatengi adegan (adeg-adegan) Ratu ing Majapait.
3,Kathah ingkang sami ngrawuhi (ngestreni) jumenengan ratu ing Majapait.
0,"Embah wadon mlaku-mlaku tiba, diadegake dening embah lanang."
1,"Eyang putri tindak-tindak tiba, dijumenengake dening eyang kakung."
2,"Embah estri mlampah-mlampah dhawah, dipunadegaken dening embah jaler."
3,"Eyang putri tindak-tindak dhawah, dipunjumenengaken dening eyang kakung."
0,Sing diadegake dadi ratu aran Raden Wijaya.
1,Sing dijumenengake dadi ratu asma Raden Wijaya. 
2,Ingkang dipunadegaken dados ratu nama Raden Wijaya.
3,Ingkang dipunjumenengaken dados ratu asma Raden Wijaya.
0,Para kawula njaluk supaya Raden Wijaya madeg ratu ing Majapait.
1,Para kawula nyuwun supaya Raden Wijaya jumeneng ratu ing Majapait.
2,Para kawula nedha supados Raden Wijaya madeg ratu ing Majapait.
3,Para kawula nyuwun supados Raden Wijaya jumeneng ratu ing Majapait.
0,"Sawise Raden Wijaya gelem, para kawula ngadegake dadi ratu ing Majapait."
1,"Sawise Raden Wijaya kersa, para kawula njumenengake dadi ratu ing Majapait."
2,"Sasampuninpun Raden Wijaya purun, para kawula ngadegaken dados ratu ing Majapait."
3,"Sasampunipun Raden Wijaya kresa, para kawula njumenengaken dados ratu ing Majapait."
0,"Sing pinter srawung, supaya ora kaadohan dening kanca!"
2,"Ingkang pinter srawung, supados boten katebihen dening kanca!"
0,Pawakan srigunung iku apik yen disawang saka kadohan.
2,Pawakan srigunung menika sae yen dipunsawang saking ketebihan.
0,Aku rumangsa kadohen yen mlayu nganti rong kilometer.
2,Kula rumaos ketebihen yen mlajeng ngantos kalih kilometer.
0,"Lelungan adoh-adoh kok mung mlaku, apa ora kesel?"
2,"Kekesahan tebih-tebih kok namung mlampah, menapa boten kesel?"
0,"Yen mlaku-mlaku aja adoh-adoh, mundhak kesel!"
2,"Yen mlampah-mlampah sampun tebih-tebih, mindhak kesel!"
0,Ayo adoh-adohan nyawatake bal kasti iki!
2,Mangga tebih-tebihan nyawataken bal kasti menika!
0,Enggonmu nyawatake adoh-adohe kira-kira mung salawe meter.
2,Enggen sampeyan nyawataken tebih-tebihipun namung kinten-kinten selangkung meter.
0,"Enggone nyawatake saka kene wae, aja ngadoh-ngadoh!"
2,"Enggenipun nyawataken saking ngriki kemawon, sampun nebih-nebih!"
0,Saaadoh-adohe mbalang isih adoh mbandhil.
2,Satebih-tebihipun mbalang taksih tebih mbandhil.
0,"Sanajan kowe ndeleng saadoh-adohe, anane mung banyu sagara. "
2,"Sanajan sampeyan ningali satebih-tebihipun, wontenipun namung toya saganten."
0,"Dak golek dhuwit menyang pasar, adol-adol krambil."
2,"Kula pados arta dhateng peken, sade-sade klapa."
0,"Bakule janganan kentekan pawitan, saiki wis ora adol-adol."
2,"Bakulipun janganan ketelasan pawitan, samenika sampun boten sade-sade."
0,"Dheweke iku mung adu-adu, supaya kowe serik karo Bu Endah."
2,"Piyambakipun menika namung aben-aben, supados sampeyan serik kaliyan Bu Endah."
0,"Sawise Kicaka siyaga, adon-adon mungsuh Jagal Abilawa diwiwiti. "
2,"Sasampunipun Kicaka siyaga, aben-abenan mengsah Jagal Abilawa dipunwiwiti."
0,"Jamune wes diadon-adoni mrica, madu lan endhog."
2,"Jampinipun sampun dipunaben-abeni mrica, madu lan tigan."
0,"Kae, embah lanang dikon adus dhisik!"
1,"Kae, eyang kakung diaturi siram dhisik!"
2,"Menika, embah jaler dipunken adus rumiyin!"
